ChineseName,EnglishName,ChineseAddress,EnglishAddress,Phone,RoomCount
璽愛旅店,Slow Town Hotel-Reel,"臺北市中正區忠孝西路一段72號3樓,3樓之1","2F.,No.32,Jilin Rd.,Zhongshan Dist.,Taipei City 104,Taiwan(R.O.C)",02-23880808,39
景美大旅社,Charming City Hotel SungShan,臺北市文山區景文街104號2-4樓,"1-9F., No.67, Sec. 6, Shimin Blvd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",02-29313788,12
二十輪旅店大安店,On My Way . Taipei Youth Hostel,臺北市大安區大安路一段183號，185號，185號2樓至7樓,"No. 82, Guangming Rd., Beitou District, Taipei City 112, Taiwan",02-27032220,30
宏都金殿大飯店,JING HWA BUSINESS HOTEL,臺北市大安區安和路2段100號2-9樓,"10F., No.168, Sec. 1, Xiyuan Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-27556599,32
頭等艙飯店西門館,hotel6 Zhonghua,臺北市中正區中華路一段59號4樓、4樓之1、8樓之1、9樓之1、11樓至13樓,"9F.、11F.,No.90,Sec.1,Zhonghua Rd.,Wanhua Dist.,Taipei City108002,Taiwan(R.O.C)",02-23114567,115
旅居文旅中山館,Jia Bin Ger Hot Spring Resorts Hotel,臺北市中山區錦西街6號,"B1-7F., No.230, Guangming Rd., Beitou Dist., Taipei City 112, Taiwan (R.O.C.)",02-25117111,70
天成文旅 華山町,MEI SHANG MEI HOTEL,臺北市中正區忠孝東路二段79號（1-3樓）,"11F., No.168, Sec. 1, Siyuan Rd., Wanhua District, Taipei City",02-23515188,72
尚印旅店-二?,PARK TAIPEI HOTEL,臺北市中山區中山北路二段71號10樓,"No.317, Sec. 1, Fuxing S. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-25682810,20
洛碁大飯店南京館,LOVE STORY HOTEL,臺北市中山區南京東路三段8號1樓至14樓,"No.189, Zhifu Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-25098882,116
豪爵旅館,At Home Hotel Nanxi,臺北市中山區吉林路379巷20號1至7樓及20之1號2樓至7樓、德惠街170巷24號1樓,"2F,2F-1,2F-2,2F-3, No. 11, Ningxia Rd., Datong Dist., Taipei City 103019, Taiwan (R.O.C.)",02-25942977,53
能量旅店,Tango HOTEL Taipei LinSen,臺北市萬華區康定路25巷38號,"No.15, Ln. 83, Sec. 1, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-23121211,4
謙匯普樂室行旅,OURS INN II,臺北市信義區信義路5段109號地下1樓,"3F-1,3F,No.96,Linsen N, Rd.,Zhongshan Dist., Taipei city,Taiwan",02-87864188,40
城市商旅昆明館（HOTEL PAPA WHALE）,BROAD WAY HOTEL,臺北市萬華區昆明街46號地下1樓、46號及46號2至4樓、4樓之2、4樓之3,"1-4F., No.99, Wenquan Rd., Beitou Dist., Taipei City 112, Taiwan (R.O.C.)",02-23311177,335
門草行旅,GREATT HOTEL,臺北市大同區安西街23號1至4樓（不含安西街25號1樓）,"1-4F., No.93, Dadong Rd., Shilin Dist., Taipei City 111, Taiwan (R.O.C.)",02-25577045,4
瀚寓酒店,*,臺北市信義區基隆路一段206號1至12樓,"No. 53, Sec 2, Kaifeng St., Wanhua Dist., Taipei City 108, Taiwan (R. O. C)",02-87583777,120
新月商旅,AIRLINE INN XIMEN,臺北市中山區新生北路一段122號1-7樓,"4,5,8,9,11-13F., No. 59, Sec. 1, Zhonghua Rd., Zhongzheng Dist., Taipei City",02-25213301,42
五月家青旅 北車館,CheersHotel,臺北市中正區忠孝西路一段122號6樓,"11F., No. 72, Sec. 2, Wuchang St., Wanhua Dist., Taipei City 108002, Taiwan (R.O.C.)",02-23822929,5
三二行館,Wonstar Hotel,臺北市北投區中山路32號,"1-9F., No.82, Sec. 1, Zhonghua Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-66117888,5
美好境界旅店,HAPPINESS MOTEL,臺北市萬華區西寧南路36號9樓之2、9樓之3、9樓之4,"No.18, Lane 97, Songjiang Rd., Jhongshan District, Taipei City 104, Taiwan (R.O.C.)",02-23617608,42
葛瑞絲商旅敦北館,URTRIP HOTEL,臺北市松山區敦化北路216號1樓至5樓,"12F., No.219, Sec. 2, Chang’an E. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",02-27886682,34
台北士林萬麗酒店,Hope City MingSheng Hotel,臺北市士林區中山北路五段470巷8號,"1F-6F, No.11, Alley 7, Lane 113, Sec.3, Mingsheng East Rd., Taipei, Taiwan",02-88612389,104
台北棧,Saual Keh Hotel,臺北市中正區許昌街40號5樓、5樓之1、5樓之2、6樓、6樓之1、6樓之2、7樓、7樓之1、7樓之2、7樓之3,"No.2, Lane 90, Sec. 1, Roosevelt Rd., Zhongzheng District",02-23313381,34
南陽街壹號旅店,Guide Hotel Taipei Bade,臺北市中正區南陽街1號3樓至4樓,"No.213, Sec. 4, Bade Rd., Songshan District, Taipei City 105, Taiwan (R.O.C.)",02-23888377,79
豪景大酒店新館,At Home,臺北市萬華區成都路173之1號B2及1至7樓,"No.3, Alley 2, Lane 65, Sec. 2, Jhongshan N. Rd., Jhongshan District, Taipei City",02-23113130,48
愛活商旅,Tango HOTEL Taipei XinYi,臺北市萬華區西寧南路36號10樓之3,"1-6F., No.297, Sec. 5, Zhongxiao E. Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)",02-23615205,22
皇家玫瑰旅館新生館,Dasin Hotel,臺北市大安區新生南路一段103巷37號(1至5樓),"11-12F., No.246, Changchun Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-27522077,21
成都壹壹壹商旅,WE COME HOSTEL,臺北市萬華區成都路111號1樓-6樓,"7F., No.26, Gangu St., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-23751022,11
清翼居旅店采風館,The we hotel,臺北市中正區南陽街8號2至5樓,"No.122, Chongyang Rd., Nangang Dist., Taipei City 115, Taiwan (R.O.C.)",02-23123661,50
台灣青旅,Walker Hotel.Ximen,臺北市中正區青島西路11號地下1樓,"10F., No.144, Sec. 1, Zhonghua Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-23613000,12
長榮桂冠酒店 (台北),Parkview Taipei,臺北市中山區松江路63號,"No.49,Jilin Rd.,Jhongshan Dist., Taipei City 10458, Taiwan (R.O.C)",02-25019988,95
水都溫泉會館,SHIN-SHIH HOTEL　　,臺北市北投區光明路283號,"No.8, Minsheng W. Rd., Jhongshan District, Taipei City　",02-28979060,33
旅樂序精品旅館三館,Holiday Inn Express Taipei Train Station,臺北市中正區懷寧街34號1至8樓,"1,3-7F., No.73, Sec. 1, Chongqing N. Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-23758333,41
葫蘆商旅,Ximen Airline Hotel,臺北市士林區重慶北路四段202號1-4樓、204號1樓,"8F., No.144, Sec. 1, Zhonghua Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-28119395,19
?美精旅,Cozzi,臺北市中正區重慶南路1段111號,"No.31, Sec. 1, Zhongxiao E. Rd., Zhongzheng Dist.,Taipei City 100, Taiwan (R.O.C)",02-23832088,38
山樂溫泉,FORTUNE HOTEL,臺北市北投區泉源路1巷17號1-2樓,"No.177, Nanking W. Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-28913388,9
綺樂文旅 開封館,King Regency Hotel,臺北市中正區開封街一段35號1至8樓,"3F., No.21, Sec. 1, Zhonghua Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-23615889,63
米窩飯店-中山,Queen Hotel II,臺北市中山區中山北路二段183巷30、32號3樓,"4F.-2, No.163, Nanjing W. Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-25910183,13
旅樂序精品旅館五館,LININN,臺北市中正區重慶南路一段20號B1樓至10樓,"7F.,No.70,Sec.1,Xining S. Rd.,Taipei City108,Taiwan(R.O.C)",02-23756777,57
多郎明哥旅館,SC Hotel,臺北市大安區信義路三段73號,"2-8F,No.12-6,Ln. 105, Sec. 1, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-27001200,30
趣西門旅店,The Tango Hotel Taipei Shilin,臺北市萬華區武昌街二段72號7樓,"1-11F.No. 16-8, Jihe Rd., Shilin Dist., Taipei City 111, Taiwan (R.O.C.)",02-23618266,27
璞漣商務旅館臺北車站店,Old Door Hostel,臺北市大同區華陰街46號3樓,"No.10, Ln. 21, Zhengzhou Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-25592662,43
金通商旅,THE GAIA HOTEL,臺北市大同區重慶北路一段1號10樓之1,"No.1, Qiyan Rd., Beitou Dist., Taipei City 112, Taiwan (R.O.C.)",02-25921919,9
承攜行旅台北重慶館,MeetingMates,臺北市大同區重慶北路一段62號1、4至10樓,"No.316,No.318, Kunming St., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-25580551,168
松河璞旅,CHECK inn Express Taipei Yongkang,臺北市松山區松河街112號1樓至8樓,"No. 73, Sec. 2, Xinyi Rd., Zhongzheng Dist., Taipei City 100012 , Taiwan (R.O.C.)",02-25281567,42
路境行旅-府前館,City Siutes Beimen II,臺北市中正區重慶南路一段86號,"2F?4F., No. 271, 1F?4F., No. 275, Chang&#39;an W. Rd., Datong Dist., Taipei City, Taiwan (R.O.C.)",02-23899595,158
華弘怡亨酒店,CITY HOTEL TAIPEI,臺北市大安區敦化南路一段370號,"No.279, Changchun Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-27848888,68
兄弟大飯店,amba Taipei Ximending,臺北市松山區南京東路3段255號,"5-10F., No.77, Sec. 2, Wuchang St., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-27123456,250
梅樓商務驛站,JIA BIN HOTEL,臺北市大同區鄭州路29巷1-1號2-4樓,"6-7F., No.42, Jingwen St., Wenshan Dist., Taipei City 116, Taiwan (R.O.C.)",02-25552587,18
台北商旅（大安館）,Boutech Jiantan Hotel,臺北市大安區大安路一段135號,"No.250,Sec.4,Chengde Rd.,Shilin Dist.,Taipei City 111052,Taiwan（R.O.C.）",02-77119933,42
小王子甜蜜旅店,Ximen Citizen Hotel,臺北市萬華區漢中街42號9樓,"No.72, Emei St., Wanhua Dist., Taipei City 108, Taiwan (R. O. C)",02-23820225,9
麗之湯別館,Green World Triplebeds,臺北市北投區溫泉路銀光巷4-2號,"1-7F., No.16, Sec. 4, Bade Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",02-28910033,40
士林町旅店,Morwing Hotel Culture Vogue,臺北市士林區安平街26號1至4樓,"2-5F, No.8, Nanyang St., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-28813133,10
路徒行旅-中華館,Hotel Sunroute Taipei,臺北市中正區延平南路68號,"No.9, Sec. 1, Minquan E. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-23120589,68
凱旋酒店,Taipei toy hotel,臺北市內湖區江南街55號3樓、9樓,"12F., No.21, Sec. 1, Zhonghua Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-87527888,88
藝宿商旅,Nihao Cafe Hotel,臺北市大同區重慶北路一段116號2樓至11樓及11樓夾層,"1F., No.4, Aly. 5, Ln. 147, Sec. 3, Xinyi Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-25506655,69
幸福大旅社,SINCERE HOTEL,臺北市萬華區內江街55巷26號1-4樓,"1-5F., No.238, Guangming Rd., Beitou Dist., Taipei City 112, Taiwan (R.O.C.)",02-23716808,22
柯達大飯店台北松江,NOBLE MOTEL,臺北市中山區松江路251號,"1-6F., No.10,12, Ln. 21, Sec. 2, Zhongcheng Rd., Shilin Dist., Taipei City 111, Taiwan (R.O.C.)",02-25159999,85
迪樂商旅,Place Inn Taipei,臺北市大同區延平北路一段121號1至6樓,"No.294,Jinlin Rd,. Zhongshan Dist., Taipei City 104,Taiwan",02-25551130,28
福容大飯店 台北一館,Santos Hotel,臺北市大安區建國南路1段266號,"No.49, Sec. 3, Chengde Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-27019266,120
悠趣旅店,Goodmore Hotel,臺北市松山區長安東路2段219號12樓,"No.147, Sec. 1, Heping E. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-27752277,27
福爾摩莎北驛旅館,Guide Hotel Taipei Fuxing N.,臺北市中正區漢口街1段45號2、4樓及47號2樓,"1-7F,No307, Fuxing N.Rd.Songshan Dist.Taipei, taiwan",02-23816089,41
二十輪旅店,Miramar Garden Taipei,臺北市萬華區武昌街二段72號5樓、6樓、10樓,"No.83, Sec. 3, Civic Blvd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-23810500,48
鉑泊客2館,Angels&#39; Hostel . Taipei Ximen,臺北市中正區重慶南路1段37號,"2F.-2, No.51, Hengyang Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-23755555,44
藝築文旅台北站前館,Urban Abode,臺北市中正區襄陽路8號3至11樓,"Suite 6, 24th Fl., No. 50, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.",02-23820150,90
華達大飯店,Artinn Hotel,臺北市中正區重慶南路一段1號6樓,"No. 63, Sec. 2, Kaifeng St., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-23110212,14
世方旅居文旅,Metro Taipei-Beitou Resort (Metro Inn),"臺北市中山區松江路485號1至5樓,5樓之1-3,6-7樓,7樓之1-5","No. 88, Ln. 527, Daye Rd., Beitou Dist., Taipei City 112056, Taiwan (R.O.C.)",02-25025000,121
漾館溫泉商旅,GRAND HILAI TAIPEI,臺北市北投區溫泉路63號1-4樓,"No. 168, Jingmao 1st Rd., Nangang Dist., Taipei City, Taiwan",02-28911118,31
第一大飯店,JIAMEI HOTEL TAIPEI,臺北市中山區南京東路2段63號,"No.12, Beiping E. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-25418234,176
萬事達旅店(中華店),May Rooms‧Taipei Main Station,臺北市萬華區中華路一段82號1-9樓,"6F., No.122, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-23820889,56
仙渡莊旅社,Hotel Puri Ximen Branch,臺北市北投區大度路三段304號,"No.6, Ln. 27, Chengdu Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-28913537,14
城市商旅德立莊分館,StayInn Taipei,臺北市中正區秀山街4號5-12樓、15樓；衡陽路99號5-12樓、15樓；延平南路110號5-11樓、15樓,"8F., No.71, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-23757777,535
沃客商旅-西門館,United Hotel,臺北市萬華區中華路一段144號10樓,"No.200, Guangfu S. Rd., Da-an Dist., Taipei City 106, Taiwan (R.O.C.)",02-23812633,23
太平洋商旅,AKA HOTEL,"臺北市信義區光復南路495號11樓之2及13,16,17,19樓","2F., NO.187,Jinhua St.,Da& #39;an Dist.,Taipei City 106304,Taiwan(R.O.C.)",02-87808000,48
漫步1948,Royal Jade Boutique Hotel,臺北市大同區太原路40、42、44號(1至4樓),"2-11F., No. 2-3, Ln. 14, Sec. 7, Zhongshan N. Rd., Shilin Dist., Taipei City 111, Taiwan (R.O.C.)",02-25588812,24
謙商旅(谷墨商旅-師大館),Just Live Inn,臺北市大安區和平東路一段145號2至4樓、147 號5至6樓、6樓之1、6樓之2,"No.4,6, Sec. 1, Hankou St., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-23955535,92
一等好旅店,KING PLAZE HOTEL,"臺北市松山區八德路四段624巷2號B1-1樓,4號2-6樓","3-4F., No.163, Nanjing W. Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-27609255,32
維多麗亞酒店,FX HOTEL,臺北市中山區敬業四路168號,"10-13F., No.131, Sec. 3, Nanjing E. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-85020007,96
復新文旅,LongShan Inn,"臺北市中山區復興北路282號3,6樓","No.13-1, Lane 125, Sec. 1, Siyuan Rd., Wanhua District, Taipei City",02-77337959,19
配普特行旅,PACIFIC BUSINESS Hotel,臺北市大同區鄭州路21巷4號(1樓至3樓),"11F.-2, No.495, Guangfu S. Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)",02-25583669,9
囍閱文創旅店,Royal Rose Hotel Ximen,臺北市萬華區長沙街二段11號10樓,"No.63-1, Xining S. Rd., Wanhua Dist., Taipei City 10842, Taiwan (R.O.C)",02-23886235,20
皇家玫瑰旅館西門館,CHARMING CITY HOTEL,臺北市萬華區西寧南路63之1號,"No.295, Sec. 4, Xinyi Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-23819333,7
洛碁大飯店花華分館,VENDOME EAST INN,臺北市中正區漢口街一段36號1-8樓及地下室,"8F., No. 209, Sec. 4, Zhongxiao E. Rd., Da’an Dist., Taipei City 106, Taiwan(R. O. C)",02-23123811,56
大光瀛商旅,Unite hotel,臺北市中正區忠孝西路1段50號地下3層,"3-10F, No. 36, Nong&#39;an St., Zhongshan Dist., Taipei City 104030 , Taiwan (R.O.C.)",02-23705590,49
瑞絲逸旅店,GOLDINN,臺北市中山區林森北路96號2樓之1、之2,"2F, 7F, 7F-14, No. 413, Linsen N. Rd.；7F, No. 48, 7F, No. 46, 13F, No. 46, 13F, No. 48, Jinzhou St.,",02-25641372,9
紅菱閣賓館,RAINBOW HOTEL,"臺北市萬華區峨嵋街80,82號","No.36, Hanzhong St., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-23619696,27
明星大飯店,Roaders Hotel Zhonghua,臺北市萬華區成都路21號2至3樓、23號2至3樓、27巷1號2至3樓,"No.68, Yanping S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-23755227,34
台北北門窩泊旅,HORIZON INN,臺北市大同區太原路92巷2之1、2之2、2之3、2之4號(1樓至4樓),"4-5F., No.246, Sec. 2, Chang’an E. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-25525068,19
小公館人文旅舍,GINZA HOTEL,"臺北市松山區南京東路五段399號5,8,14樓","4-3F,4-2F,4-1F., No.289, Linsen N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-27690200,20
安庭台北商務旅館,Mulan Villa SPA Motel Taipei,臺北市大安區忠孝東路四段197號12樓、12樓之1、12樓之4、12樓之5、12樓之9,"No.460, Sec. 2, Tiding Blvd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-27780920,41
日好青旅,Huada Hotel,臺北市大同區甘谷街26號6樓,"6F., No.1, Sec. 1, Chongqing S. Rd., Zhongzheng Dist., Taipei City 10046, Taiwan (R.O.C.)",02-25558667,11
丰居旅店雙連館,Just Sleep Ximending,"臺北市中山區民生東路一段42號2,3樓,-1至-5","5F-9F., No.41, Sec. 1, Zhonghua Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-23112555,47
享住青旅,Hotel Bchic,臺北市中正區館前路8號地下1層,"1-6F., No.25, Sec. 2, Xinsheng N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",0970-939898,7
聖雄商旅,MACCHI HOTEL,臺北市松山區基隆路一段8號、10號17至18樓,"3-4F., No.6, Ln. 30, Jingzhong St., Wenshan Dist., Taipei City 116, Taiwan (R.O.C.)",02-27600920,37
台北馥敦飯店復南館,Tianyun Hotel Taipei Kaifeng,臺北市大安區復興南路二段41號,"1-8F., No. 33, Sec. 1, Kaifeng St., Zhongzheng Dist., Taipei City",02-27031234,95
壹零壹艾美琪旅店,PoshPacker Hotel2,臺北市大安區復興南路一段126巷1號4樓,"No. 37, Sec. 1, Chongqing S. Rd., Zhongzheng Dist., Taipei City",02-27728101,36
城市商旅德立莊二館,Yes Taipei Hotel,臺北市中正區衡陽路97號2樓、97之1號2樓、99號2樓、101號2樓、101號2樓之1、103號2樓、103號2樓之1、105號2樓、延平南路110號2-4樓,"1F~3F., No. 61, Sec. 1, Chongqing N. Rd., Datong Dist., Taipei City , Taiwan (R.O.C.)",02-23703258,199
禾順行旅,Green World Mai-Nanjing,臺北市萬華區廣州街247號及247號2至6樓,"NO.163,SEC.2.NANJING E.ROAD.,ZHONGSHAN DIST.,TAIPEI CITY 104 TAIWAN",02-23081000,98
九昱晴美,Wondertime,臺北市中山區林森北路568號2至13樓，3樓之1、2、3、5、6至12樓之1、2、3、5、6，13樓之1,"5F., No.1, Sec. 1, Chongqing S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-66080807,62
百樂匯大飯店,Hotel Bnight,臺北市北投區溫泉路99號1-4樓,"6F., No.62, Changchun Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-28928288,33
新秀閣大飯店,Vendome East Maple inn,臺北市北投區光明路238號1-5樓,"No.211-7,No.209-7, Sec. 4, Zhongxiao E. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-28912166,17
背包棧旅店-台北長春店,AJ Residence,臺北市中山區長春路258巷6號2樓,"15th Floor, 15th Floor, 1 to 3, 5 to 10, No. 201, Section 1, Civic Avenue, Datong District, Taipei C",02-25180188,43
果芒驛站旅店,STAR XIMEN,臺北市中正區忠孝西路一段50號23樓之18,"9F.,No.36,Xining S. Rd.,Wanhua Dist.,Taipei City 108,Taiwan(R.O.C.)",02-23706808,2
君帥旅館,Meander 1948,臺北市萬華區成都路68號8-10樓,"No.42, Taiyuan Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-23718812,35
長弘時尚旅店,DOWN TOWN HOTEL,臺北市中山區長春路56號3至5樓　,"2F., No.33, Sec. 2, Xinyi Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-25420101,24
日光樂居,K HOTELS LINSEN,臺北市萬華區西寧南路72之1號5樓,"No. 74, Linsen N. Rd., Zhongshan Dist., Taipei City 104005, Taiwan (R.O.C.)",02-23889978,27
鴨川旅館,Grand Mayfull Hotel Taipei,臺北市中山區中山北路二段65巷2弄60號1-6樓,"No.55, Lequn 2nd Rd., Zhongshan Dist., Taipei 10462, Taiwan",02-25603965,20
品格子旅店西門館,Sweetme Hotspring Resort,臺北市萬華區西寧南路30號8樓,"No.224, Guangming Rd., Beitou Dist., Taipei City 112, Taiwan (R.O.C.)",02-23618008,35
旅居文旅-松山驛站,Easymind Guest House,臺北市松山區八德路四段626號3樓,"12F., No.66, Sec. 1, Chengde Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-27635889,18
錦棧商旅,KHOTEL TAIPEI DUNNAN,臺北市中山區林森北路413號2樓、7樓、7樓之14及錦州街46號7樓、48號7樓、46號13樓、48號13樓,"No.238, Sec. 2, Dunhua S. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-77012121,92
皇家季節酒店1館,Dor HOTEL,臺北市大同區南京西路326號1樓、2樓、3樓、4樓、5樓，及8樓、9樓,"2F., No.66, Sec. 1, Xinsheng N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-25554288,48
大地清旅,YESINN HOTEL,臺北市中山區長安東路二段246號4至5樓,"No.11, Ln. 55, Neijiang St., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-27110102,36
儷夏旅館-西寧館,Regent Taipei,臺北市萬華區西寧南路30號3樓、9樓,"No.3, Ln. 39, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-23616999,31
緒遠旅館,Hinoen Hotel,臺北市中山區錦州街20號3樓,"2-7F., No. 18, Sec. 1, Chongqing S. Rd., Zhongzheng Dist., Taipei City 100001 , Taiwan (R.O.C.)",02-25682005,8
安庭澔思青年旅舍,Royal Biz Taipei,臺北市大同區承德路一段66號12樓,"No.71, Sec. 1, Jinshan S. Rd., Zhongzheng Dist., Taipei City 10056, Taiwan (R.O.C.)",02-25526176,4
漢普頓酒店,XINSHE Hotel Linsen,臺北市中山區建國北路2段7號,"No.477, Linsen N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-25069696,121
苓旅站前,HATAGO,臺北市中正區忠孝西路一段72號4樓,"2-5F., No. 105, Xining S. Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-23814755,35
楓?微笑會館,Green World Flora Annex,臺北市士林區菁山里菁山路131巷18之1號,"No.36, Sec. 1, Hankou St., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-28622145,5
仲信大湖商旅,THE DEALER HOTEL,臺北市內湖區成功路四段351、353號1至4樓,"1-6F., No.121, Sec. 1, Yanping N. Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-27932122,27
